Begin IJ Block
2   8   1   29   -0.0058311946
2   8   1   30   -0.0051909991
2   8   2   16   -0.0040901897
2   8   2   18   -0.0008493740
2   8   2   21   -0.0022360529
2   8   2   23   -0.0043915839
2   8   2   26   -0.0055046901
2   8   2   27   0.0000000000
2   8   2   28   -0.0012999260
2   8   3   17   -0.0051733750
2   8   3   18   0.0000000000
2   8   3   19   -0.0048564491
2   8   3   21   0.0000000000
2   8   3   22   0.0130527741
2   8   3   23   0.0000000000
2   8   3   26   0.0000000000
2   8   3   27   -0.0026216909
2   8   3   28   -0.0000000000
2   8   3   29   0.0014850505
2   8   3   30   -0.0123506887
2   8   4   16   -0.0026170867
2   8   4   17   -0.0000000000
2   8   4   18   -0.0025235034
2   8   4   19   -0.0000000000
2   8   4   21   -0.0055439866
2   8   4   22   0.0000000000
2   8   4   23   -0.0029499197
2   8   4   26   -0.0029754084
2   8   4   27   -0.0000000000
2   8   4   28   0.0037205863
2   8   4   29   0.0000000000
2   8   4   30   -0.0000000000
2   8   5   24   0.0026247713
2   8   6   17   -0.0116214816
2   8   6   18   0.0000000000
2   8   6   19   -0.0047535238
2   8   6   22   0.0245908843
2   8   6   23   0.0000000000
2   8   6   26   -0.0000000000
2   8   6   27   -0.0074661229
2   8   6   28   0.0000000000
2   8   6   29   -0.0039643485
2   8   6   30   -0.0069302357
2   8   7   16   0.0099803864
2   8   7   18   0.0051561763
2   8   7   19   0.0000000000
2   8   7   21   0.0104549492
2   8   7   22   0.0000000000
2   8   7   23   0.0075230369
2   8   7   26   0.0128444232
2   8   7   27   -0.0000000000
2   8   7   28   0.0004640769
2   8   7   29   -0.0000000000
2   8   7   30   -0.0000000000
2   8   8   16   0.0000000000
2   8   8   17   -0.0068979352
2   8   8   18   0.0000000000
2   8   8   19   -0.0049472934
2   8   8   22   0.0130746044
2   8   8   26   0.0000000000
2   8   8   27   0.0031687175
2   8   8   28   0.0000000000
2   8   8   29   -0.0020104055
2   8   8   30   -0.0046472172
2   8   9   20   0.0001235108
2   8   9   25   -0.0044524825
2   8   10   24   -0.0050805569
2   8   11   17   -0.0144367757
2   8   11   18   0.0000000000
2   8   11   19   -0.0059763956
2   8   11   21   -0.0000000000
2   8   11   22   0.0294073067
2   8   11   23   0.0000000000
2   8   11   26   -0.0000000000
2   8   11   27   -0.0052862336
2   8   11   28   0.0000000000
2   8   11   29   -0.0070146306
2   8   11   30   -0.0149495059
2   8   12   16   -0.0018803955
2   8   12   17   0.0000000000
2   8   12   18   -0.0013267305
2   8   12   19   -0.0000000000
2   8   12   21   -0.0022581573
2   8   12   22   -0.0000000000
2   8   12   23   0.0022872999
2   8   12   26   -0.0023434926
2   8   12   28   -0.0016620931
2   8   12   29   -0.0000000000
2   8   12   30   -0.0000000000
2   8   13   16   0.0000000000
2   8   13   17   -0.0030602851
